id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,desc__c,enabled__c,label__c,value__c,
aA9G0000000Kz5zKAC,false,Global.MA.MC.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,"Allows the Mini-Cart to be displayed on the My Account Page, FALSE by default",true,,FALSE,
aA9G0000000Kz60KAC,false,Global.All.MA.useDef,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,Set to TRUE if the default sections of My Acccount should be loaded.  If set to false then the My Account components must all be added.,true,,TRUE,
aA9G0000000Kz7cKAC,false,CHStore.PDP.PS.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,,true,,TRUE,
aA9G0000000Kz7dKAC,false,CHStore.PDPAssembly.tmpl,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,Template for Assembly products,true,,cc_tmpl_TwoColRightRD,
aA9G0000000Kz7eKAC,false,CHStore.IVD.tmpl,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,Invoice detail storefront template,true,,cc_tmpl_OneColRD,
aA9G0000000Kz7fKAC,false,CHStore.IPV.tmpl,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,Invoice payment storefront template,true,,cc_tmpl_OneColRD,
aA9G0000000Kz7gKAC,false,CHStore.PYD.tmpl,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,Payment detail storefront template,true,,cc_tmpl_OneColRD,
aA9G0000000Kz7hKAC,false,CHStore.SPD.tmpl,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,Stored payment detail storefront template,true,,cc_tmpl_OneColRD,
aA9G0000000Kz7iKAC,false,CHStore.SUBD.tmpl,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,Subscription details storefront template,true,,cc_tmpl_OneColRD,
aA9G0000000KyznKAC,false,IRStore.HP.QO.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,TRUE,
aA9G0000000KyzoKAC,false,IRStore.PLP.CS.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,TRUE,
aA9G0000000KyzpKAC,false,IRStore.PDPParts.tmpl,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,cc_tmpl_TwoColAltRD,
aA9G0000000KyzqKAC,false,IRStore.All.GA.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,TRUE,
aA9G0000000KyzrKAC,false,IRStore.PDPAssembly.tmpl,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,Template for Assembly products,true,,cc_tmpl_TwoColRightRD,
aA9G0000000KyzsKAC,false,IRStore.IVD.tmpl,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,Invoice detail storefront template,true,,cc_tmpl_OneColRD,
aA9G0000000KyztKAC,false,IRStore.IPV.tmpl,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,Invoice payment storefront template,true,,cc_tmpl_OneColRD,
aA9G0000000KyzuKAC,false,IRStore.PYD.tmpl,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,Payment detail storefront template,true,,cc_tmpl_OneColRD,
